,Effective_Fed_Funds_Rate_MO,Bank_Prime_Loan_Rate_MO,Ten_Yr_Treasury_Constant_Maturity_Rate_WK,Labor_Force_Participation_Rate,Personal_Saving_Rate,All_Employees_Total_Nonfarm,M2_Money_Stock,Commercial_Industrial_Loans_All_Commercial_Banks,Real_M2_Money_Stock
2/1/1979,10.06,11.75,9.1,63.8,11,89055,1377.8,20.7,1991
3/1/1979,10.09,11.75,9.12,63.8,11.2,89479,1387.8,19.5,1985.4
4/1/1979,10.01,11.75,9.18,63.5,11,89417,1402.1,28.5,1986
5/1/1979,10.24,11.75,9.25,63.3,10.3,89789,1410.2,23.7,1975.1
6/1/1979,10.29,11.65,8.91,63.5,9.8,90108,1423,21.6,1970.9
7/1/1979,10.47,11.54,8.95,63.6,10.6,90217,1434.8,19.6,1965.5
8/1/1979,10.94,11.91,9.03,63.6,9.7,90300,1446.6,12.2,1962.8
9/1/1979,11.43,12.9,9.33,63.8,9.4,90327,1454.1,16,1954.4
10/1/1979,13.77,14.39,10.3,63.7,9.7,90481,1460.4,7.3,1942
11/1/1979,13.18,15.55,10.65,63.7,9.7,90573,1465.9,4.6,1928.8
12/1/1979,13.78,15.3,10.39,63.9,10.1,90672,1473.7,10.3,1916.4
1/1/1980,13.82,15.25,10.8,64,9.9,90800,1482.7,8.7,1900.9
2/1/1980,14.13,15.63,12.41,64,10.1,90883,1494.6,16.5,1891.9
3/1/1980,17.19,18.31,12.75,63.7,10.3,90994,1499.8,15.2,1872.4
4/1/1980,17.61,19.77,11.47,63.8,11.4,90849,1502.2,5.1,1856.9
5/1/1980,10.98,16.57,10.18,63.9,11.5,90420,1512.3,-11.3,1851
6/1/1980,9.47,12.63,9.78,63.7,11.3,90101,1529.2,-2.9,1853.6
7/1/1980,9.03,11.48,10.25,63.8,11.4,89840,1545.5,4.4,1871.1
8/1/1980,9.61,11.12,11.1,63.7,11.4,90099,1561.5,14,1876.8
9/1/1980,10.87,12.23,11.51,63.6,11.7,90213,1574,13.8,1876
10/1/1980,12.81,13.79,11.75,63.7,11.3,90490,1584.8,20.8,1871.1
11/1/1980,15.85,16.06,12.68,63.8,11.6,90747,1595.8,29.3,1864.3
12/1/1980,18.9,20.35,12.84,63.6,11.4,90943,1599.8,17.9,1851.6
1/1/1981,19.08,20.16,12.57,63.9,10.9,91033,1606.9,1,1842.8
2/1/1981,15.93,19.43,13.19,63.9,10.8,91105,1618.7,1.7,1839.4
3/1/1981,14.7,18.05,13.12,64.1,10.8,91210,1636.6,4.4,1847.2
4/1/1981,15.72,17.15,13.68,64.2,10.8,91283,1659.2,16.2,1862.2
5/1/1981,18.52,19.61,14.1,64.3,10.9,91296,1664.2,21.6,1855.3
6/1/1981,19.1,20.03,13.47,63.7,10.8,91490,1670.3,16,1845.6
7/1/1981,19.04,20.39,14.28,63.8,12.3,91601,1681.9,13.5,1838.1
8/1/1981,17.82,20.5,14.94,63.8,12,91565,1694.3,16.9,1837.6
9/1/1981,15.87,20.08,15.32,63.5,12.3,91477,1706,5.3,1832.4
10/1/1981,15.08,18.45,15.15,63.8,12.9,91380,1721.8,11.3,1843.5
11/1/1981,13.31,16.84,13.39,63.9,13,91171,1736.1,14.9,1850.9
12/1/1981,12.37,15.75,13.72,63.6,12.4,90895,1755.5,17.5,1865.6
1/1/1982,13.22,15.75,14.59,63.7,12.6,90565,1770.4,15.7,1875.4
2/1/1982,14.78,16.56,14.43,63.8,12,90563,1774.5,20.3,1873.8
3/1/1982,14.68,16.5,13.86,63.8,12.1,90434,1786.5,10.8,1886.5
4/1/1982,14.94,16.5,13.87,63.9,12.8,90150,1803.9,23.8,1898.8
5/1/1982,14.45,16.5,13.62,64.2,12.2,90107,1815.4,16.8,1893
6/1/1982,14.15,16.5,14.3,63.9,12.2,89865,1826,14.3,1882.5
7/1/1982,12.59,16.26,13.95,64,12.5,89521,1831.5,11.1,1878.5
8/1/1982,10.12,14.39,13.06,64.1,12.5,89363,1845.2,5.5,1888.6
9/1/1982,10.31,13.5,12.34,64.1,11.7,89183,1858.4,15.9,1902.1
10/1/1982,9.71,12.52,10.91,64.1,11.2,88907,1869.7,4.9,1905.9
11/1/1982,9.2,11.85,10.55,64.2,10.9,88786,1883.7,-1.6,1922.1
12/1/1982,8.95,11.5,10.54,64.1,10.9,88771,1905.9,0,1950.8
1/1/1983,8.68,11.16,10.46,63.9,11.1,88990,1959.4,3.8,2001.4
2/1/1983,8.51,10.98,10.72,63.8,11.2,88917,1996.8,1.3,2037.6
3/1/1983,8.77,10.5,10.51,63.7,10.7,89090,2015.2,1.1,2054.2
4/1/1983,8.8,10.5,10.4,63.8,10.3,89364,2028.6,-3.5,2053.2
5/1/1983,8.63,10.5,10.38,63.7,9.9,89644,2043.1,-3,2059.6
6/1/1983,8.98,10.5,10.85,64.3,9.2,90021,2053.5,7,2065.9
7/1/1983,9.37,10.5,11.38,64.1,9.7,90437,2064.8,12.1,2068.9
8/1/1983,9.56,10.89,11.85,64.3,9.2,90129,2074,10.9,2071.9
9/1/1983,9.45,11,11.65,64.3,9.6,91247,2083.2,2.4,2074.9
10/1/1983,9.48,11,11.54,64,9.7,91520,2099.2,9.7,2082.5
11/1/1983,9.34,11,11.69,64.1,10.3,91875,2112.3,11.7,2089.3
12/1/1983,9.47,11,11.83,64.1,10.1,92230,2123.5,12.4,2094.2
1/1/1984,9.56,11,11.67,63.9,9.9,92673,2138.2,5.6,2094.2
2/1/1984,9.59,11,11.84,64.1,11.6,93157,2158.2,21.8,2103.5
3/1/1984,9.91,11.21,12.32,64.1,11.4,93429,2175.2,21,2113.9
